user_id day
1287915 3
1287915 4
1287915 8
1287915 14
1287915 15
1287915 16
1287915 19
356878 21
356878 25
356878 26
356878 28
356878 29
356878 30
253216 6
253216 12
203868 1
196857 2
196857 6
196857 8
196857 9
196857 27
158345 4
158345 8
158345 9
158345 10
158345 12
158345 16
158345 18
158345 19
158345 20
158345 22
158345 23
158345 24
158345 26
167102 1
1086773 1
1105500 12
1105500 16
1105500 22
1105500 25
341755 18
873761 3
873761 6
873761 7
873761 8
873761 22
873761 24
873761 26
873761 28
855868 3
855868 9
855868 10
855868 11
855868 13
855868 22
855868 25
855868 27
855868 28
1201725 1
1362331 1
663888 1
888232 2
888232 6
888232 14
888232 15
888232 18
888232 22
888232 25
888232 27
888232 28
888232 30
682295 5
682295 9
682295 21
682295 25
682295 27
682295 29
405705 9
405705 28
954348 2
954348 4
954348 8
954348 10
954348 14
218710 18
696283 1
696283 2
696283 4
696283 6
696283 8
696283 10
696283 14
696283 19
696283 20
696283 23
696283 25
696283 27
696283 28
1348976 1
1055613 2
1055613 7
1055613 28
680289 1
572351 1
426269 1
426269 5
426269 7
426269 9
426269 13
426269 14
426269 22
426269 24
426269 25
1182961 1
171905 1
1093651 1
536313 2
536313 3
536313 6
536313 23
536313 25
536313 27
536313 29
624137 2
624137 9
624137 21
540931 21
187341 4
187341 5
187341 7
187341 13
187341 16
187341 17
187341 20
187341 22
187341 30
448037 1
545578 1
155524 15
155524 21
155524 23
155524 25
155524 26
155524 29
1272601 1
1272601 3
185030 14
185030 19
233285 1
233285 2
233285 10
57253 1
57253 3
57253 8
57253 17
57253 20
57253 22
57253 23
57253 24
57253 25
57253 26
57253 28
57253 30
618731 1
618731 13
72782 10
72782 15
72782 21
72782 29
892331 7
892331 10
519476 1
526179 4
526179 6
526179 26
526179 30
1019537 12
1019537 21
1019537 22
1019537 23
1019537 25
740222 1
60335 1
60335 13
60335 14
60335 16
60335 21
353913 1
353913 9
1156297 1
1156297 2
1156297 7
1156297 13
1156297 14
1156297 15
1156297 16
1156297 25
1177335 5
1177335 14
1177335 15
1177335 16
1177335 19
1177335 22
1177335 23
1177335 29
1177335 30
200378 6
200378 13
200378 16
200378 18
200378 27
918317 18
918317 24
1286832 4
1286832 5
1286832 8
1286832 11
1286832 13
1286832 14
1286832 19
1286832 20
1286832 22
1286832 23
1286832 24
1286832 28
1286832 29
493615 27
587381 1
547713 1
547713 3
547713 6
264565 1
264565 3
264565 4
264565 8
264565 12
264565 14
264565 15
264565 17
264565 23
264565 28
264565 29
420516 2
420516 5
366475 1
366475 5
9059 1
851922 1
851922 2
851922 7
851922 8
851922 13
851922 16
851922 19
851922 21
851922 23
851922 24
851922 26
851922 27
851922 29
1007419 1
1007419 3
1007419 7
1007419 8
1007419 10
1007419 11
1007419 14
1007419 16
1007419 27
1007419 29
1007419 30
653087 3
653087 4
653087 11
808756 2
808756 5
808756 8
808756 12
808756 16
808756 27
870961 1
15520 1
596481 2
596481 5
596481 8
596481 17
596481 23
581405 1
581405 2
581405 14
581405 15
11589 2
790854 12
790854 17
790854 21
790854 25
139419 2
139419 5
139419 7
139419 11
139419 17
139419 18
139419 20
139419 23
139419 24
139419 25
139419 27
139419 28
139419 30
849259 1
1041375 3
1041375 6
1041375 7
1041375 12
1041375 23
1338194 5
307845 1
307845 5
307845 7
307845 15
307845 16
307845 17
307845 19
307845 20
307845 24
307845 25
1042055 5
304031 2
304031 5
304031 10
304031 15
304031 19
304031 27
304031 29
304031 30
148705 1
148705 17
374958 1
2752 9
34932 5
34932 9
34932 10
34932 14
34932 17
34932 20
34932 21
34932 22
34932 23
34932 24
34932 26
34932 27
490314 15
490314 16
490314 21
861300 12
861300 13
861300 17
861300 20
861300 26
861300 30
653116 5
653116 6
1072364 1
1072364 2
1151215 1
1151215 6
1151215 7
1151215 11
1151215 18
720512 1
67621 1
67621 10
801439 1
785108 9
785108 14
785108 23
255672 1
255672 2
136165 2
331738 1
331738 15
331738 28
634138 4
634138 5
634138 7
746523 4
746523 5
746523 6
746523 10
746523 12
746523 29
50933 5
50933 6
1140071 7
1140071 8
1140071 17
1140071 20
1140071 21
1140071 22
1140071 30
436460 3
436460 9
436460 10
436460 13
436460 14
436460 17
436460 24
436460 26
1066026 1
1066026 4
1066026 10
1066026 27
201523 1
201523 4
201523 9
201523 13
201523 14
201523 23
201523 30
842321 1
984408 1
984408 3
984408 5
1345752 8
1345752 15
1345752 17
1345752 18
1345752 20
1345752 23
1345752 24
1345752 27
685275 1
648963 1
326559 1
61074 7
61074 8
61074 10
61074 11
61074 12
61074 13
61074 14
61074 15
61074 16
61074 24
61074 25
61074 27
61074 29
225277 1
164105 3
164105 10
164105 17
164105 19
164105 29
103077 1
1139170 2
1139170 7
1139170 10
1139170 13
1139170 15
1139170 16
1139170 17
1139170 20
1139170 22
1139170 23
1139170 30
223739 5
809435 3
809435 11
809435 12
809435 14
809435 16
809435 18
809435 21
809435 23
809435 26
626396 2
626396 4
626396 11
626396 12
626396 19
626396 24
626396 25
14180 12
14180 15
14180 17
14180 23
957124 8
957124 30
256837 1
1048849 3
1048849 11
1048849 14
1205025 1
1205025 10
1205025 16
1205025 20
1205025 29
111079 1
111079 6
111079 8
111079 22
111079 28
886972 1
886972 3
327903 2
327903 8
327903 9
1093701 3
1093701 12
1093701 15
1093701 30
1040730 1
1040730 5
1040730 6
1040730 20
1040730 21
1040730 24
1040730 28
744736 2
744736 7
744736 11
744736 14
744736 16
744736 26
1052408 15
1052408 17
1052408 18
1052408 20
1052408 21
1052408 22
1052408 24
1052408 28
1052408 29
629687 1
629687 13
1205967 2
1205967 4
1205967 6
1205967 10
1205967 12
1205967 21
1205967 22
1205967 23
1205967 28
711057 3
711057 10
711057 23
711057 24
711057 28
155012 1
155012 6
155012 18
155012 20
155012 21
861560 1
861560 4
861560 5
861560 8
861560 10
861560 11
861560 12
861560 16
861560 20
861560 25
861560 26
