user_id register_day register_type device_type
167777 1 4 270
886972 1 0 5
921231 1 0 0
904908 1 1 49
460291 2 0 72
1096316 2 1 4912
641814 2 0 11
816839 2 1 1454
914942 3 0 67
450362 3 1 6
858989 3 0 136
754467 3 0 10
1291734 3 0 34
658865 3 0 420
655290 3 2 27
99574 4 2 0
800682 4 0 11
1308407 4 0 99
652726 4 0 51
200843 4 0 44
545515 5 1 72
242829 5 0 323
1021890 5 1 316
153141 5 0 580
501631 6 2 978
215787 6 0 3
269765 6 1 36
352546 6 1 95
98476 6 1 12
1071583 6 2 56
170124 6 1 16
1181367 6 2 11
1320204 6 1 398
1116924 6 0 0
680926 7 1 216
1376868 7 1 185
130082 7 0 53
233552 7 4 520
856297 7 0 6
689563 7 0 54
1267793 7 0 18
837640 7 1 3
1094276 7 1 439
521323 7 3 34
235421 7 0 169
1012834 7 0 0
911187 8 1 50
110235 8 0 8
665829 8 0 15
1057271 8 1 78
61737 8 0 55
891200 8 5 10
962791 8 5 257
1136917 9 2 7
1282867 9 0 97
1368280 9 1 28
1173573 9 1 37
1238643 10 0 42
1015686 10 0 3
605884 10 1 237
860581 10 0 50
751960 10 0 29
1061106 10 0 10
887606 10 0 2426
1127109 10 1 42
182234 10 2 2
575046 11 1 77
512816 11 0 466
1143539 11 1 63
1291579 11 1 54
786857 11 0 378
319366 11 1 323
1290640 12 0 76
279586 12 1 1719
1366429 12 1 63
271997 12 0 2
356112 12 2 13
231150 12 1 80
64843 12 0 372
316686 12 2 143
162427 12 0 173
1313891 12 1 11
924179 12 4 8
1370738 13 0 18
289642 13 5 2997
1143518 13 2 40
979146 13 1 116
1159043 13 2 2
1000296 13 0 1875
854604 13 1 294
742580 13 6 3004
322882 13 1 40
496410 13 1 51
253493 13 0 0
105807 13 0 263
1220321 13 1 25
66283 13 0 66
206211 13 0 11
832364 13 0 4
319137 13 0 104
111543 13 0 1031
888541 13 2 172
303675 14 1 96
1118896 14 2 30
224357 14 1 4
888665 14 0 205
143124 14 1 207
393480 14 5 2098
1138116 14 0 663
1146471 14 1 16
1273098 14 6 831
608370 14 0 18
111319 14 2 63
813733 14 1 539
153711 14 2 10
1329669 15 0 3
477052 15 2 2
437935 15 0 25
727571 15 0 43
1053476 15 1 82
1029931 15 1 559
747077 16 0 267
458746 16 5 1013
1251371 16 0 172
700790 16 2 97
255408 16 0 30
197695 16 2 15
676496 16 0 46
1101800 16 0 7
441829 17 0 3
1044746 17 1 36
151570 17 1 5
112531 17 1 79
103255 17 0 18
309423 17 1 3
291896 17 1 16
364344 17 0 106
336481 18 0 68
1146820 18 0 27
508858 18 2 279
1164067 18 2 15
200169 18 2 5
617394 18 1 2
1324551 18 0 32
592159 18 1 23
765114 18 1 1272
346252 18 1 139
572411 19 1 17
45637 19 0 4767
322370 19 0 8
52946 19 2 23
536556 19 0 2
608125 19 2 8
138415 19 0 229
926537 19 1 24
726597 19 1 37
551467 19 0 299
273226 20 0 21
1015898 20 0 5
1306535 20 1 50
1226724 21 5 66
121634 21 1 10
417859 21 2 8231
889708 21 0 449
996487 21 1 9
383835 21 0 10
940727 21 1 2058
1038093 21 0 165
639377 21 2 0
720910 21 0 5
1179399 21 1 340
1096404 21 0 6
706546 21 0 2332
837441 21 0 123
651051 22 0 1199
1095436 22 1 1907
36296 22 1 173
1343040 22 0 41
268097 22 1 104
877187 22 0 4
929 22 1 36
530529 22 2 115
950416 22 0 141
350564 23 0 49
439543 23 1 244
650392 23 2 0
200805 23 1 104
1103755 23 1 13
21333 23 0 4
365242 23 1 353
171130 23 0 2
1333009 23 0 51
176687 23 0 11
223495 24 3 1
1133204 24 3 1
655165 24 1 6
595811 24 3 1
324598 24 0 4
464841 24 3 1
294443 24 0 543
274875 24 3 1
1258259 24 0 53
677629 24 3 1
1086670 24 0 2
626386 24 1 6
1365081 24 1 296
772572 24 0 1717
591 24 1 16
24907 24 1 11
254127 24 1 112
782994 24 1 45
165463 24 0 162
288007 24 4 1
20649 24 1 33
1293686 24 0 246
276303 24 0 43
1347102 25 6 749
953011 25 1 7
400964 25 0 5
184840 25 0 1050
338100 25 1 8
820215 25 0 964
516602 25 1 50
201635 25 1 6
896429 25 0 28
1249570 26 1 60
569137 26 2 2
496971 26 1 45
297969 26 0 8
520839 26 2 26
1371611 26 0 14
1026576 26 2 3
153304 26 0 53
401866 26 1 51
1082349 27 1 22
568270 27 2 3743
1063217 27 1 100
123243 27 5 1234
506816 27 0 94
537421 27 1 24
32304 27 0 105
1133577 27 0 10
832072 27 3 7900
119790 27 1 471
796483 28 1 1913
464940 28 2 122
486514 28 0 7
851580 28 1 771
734230 28 4 15
1382200 28 1 93
239734 28 1 116
378857 28 1 9
1319142 28 1 16
133281 28 0 6
542456 28 0 4
1062337 29 1 969
313660 29 0 20
104357 29 5 1941
446902 29 0 17
684513 29 0 303
291910 29 2 4
1049706 29 5 34
315326 29 0 0
1196551 29 0 11
327480 29 0 45
280787 29 0 206
565711 29 0 93
635504 29 0 0
259660 29 1 4
320641 30 1 263
1355316 30 0 229
610592 30 1 31
560242 30 0 171
16129 30 0 191
1293622 30 0 10
574793 30 2 78
472122 30 0 4
1044391 30 1 267
954348 1 1 85
1345752 1 0 4
831720 1 0 2
1183748 1 1 13
1322467 1 0 31
1183448 1 1 23
1161486 1 0 1106
656250 2 2 63
604731 2 0 80
1031566 2 0 8
987474 2 0 21
111648 3 0 980
852311 3 4 4
948756 3 0 637
870426 3 0 0
585266 3 0 4
264878 3 0 4
310223 3 0 23
1034656 3 1 3
651616 3 0 15
1051488 4 1 198
1287397 4 0 4
1268106 4 0 22
790537 4 0 29
1147550 5 0 19
1083385 5 0 2
48559 5 2 970
702262 5 6 899
25091 5 1 6932
536403 5 0 27
1262935 5 1 650
1057780 5 1 67
255243 6 0 14
44601 6 0 19
278885 6 0 15
509527 6 1 1041
1182324 6 0 22
81916 6 0 0
222159 7 1 371
245657 7 1 574
1072730 7 2 215
411299 7 0 433
98083 7 1 39
272514 7 1 27
1090463 7 0 7
1099916 7 4 7
727276 7 0 51
512824 7 0 34
1257047 7 1 209
52064 8 0 397
781759 8 1 1188
549329 8 0 668
1201336 8 0 20
1335100 8 1 156
104068 8 0 70
576026 8 2 33
563591 9 0 24
588229 9 2 10
676909 9 2 0
1329634 9 2 79569
611310 9 0 21
1332976 9 2 0
1281328 9 1 8
868882 9 2 0
1159562 9 0 10
157837 9 7 3275
345875 10 1 79
82909 10 0 24
398511 11 2 23849
247599 11 0 28
1059875 11 0 68
1142217 11 6 329
1192477 11 1 462
754757 11 1 180
683407 11 0 7
344240 11 0 91
937041 11 1 8
51262 11 2 10
299934 12 1 758
635942 12 0 13
1025212 12 1 17
727422 12 0 4
1027816 12 0 27
67064 12 1 12
570300 12 0 170
912819 12 0 219
1019733 12 2 16
543193 12 2 14
845506 12 0 25
1382333 13 2 2
589953 13 2 245
1082484 13 6 905
816585 13 2 28
1239909 13 2 118
900838 13 1 970
230159 13 1 16
384172 13 2 1740
114994 13 0 4
483088 13 1 5416
1334149 13 0 21
1309778 13 1 14
82151 13 1 2
768236 13 1 281
816223 13 1 12
524685 13 0 7
268409 13 0 8
39453 13 1 46
328484 13 2 180
765278 13 1 2148
1259057 13 0 89
153202 14 0 5
364908 14 0 8
901005 14 1 480
436197 14 1 8
825323 14 4 16
1190841 14 1 71
625144 14 1 81
23246 14 1 1896
855615 14 0 101
1236770 14 1 54
890998 14 0 12
814773 14 0 11
1034253 14 1 45
965616 14 0 304
1190076 14 3 7786
751390 15 1 29
207650 15 2 35
762486 15 0 4
321358 15 2 11
406353 15 0 10
321492 15 1 23
621924 16 0 94
61775 16 0 12
29132 16 0 15
492581 16 0 8
780809 16 0 21
167720 16 0 88
401148 16 0 2674
166781 16 6 2534
865304 16 2 269
1293808 16 1 46
127737 17 0 7
1140638 17 0 4
806896 17 2 15
326903 17 0 461
317186 17 2 3
70100 17 2 9
1128419 17 0 7
901132 17 2 98
321337 17 0 140
501693 17 0 67
50896 18 1 66
1140034 18 0 15
368337 18 0 71
425098 18 0 40
