user_id register_day register_type device_type
743970 1 1 283
1270194 1 1 259
571172 1 1 2
1308394 1 0 23
745499 1 2 0
1030924 1 1 650
913224 1 2 593
266475 1 0 403
475076 1 0 135
547897 1 0 9
916582 2 5 10
719207 2 0 7
1026089 2 1 10
1140246 2 1 145
688049 2 1 214
1342350 2 1 24
926190 2 1 96
40705 2 0 55
246930 2 0 2
153562 2 0 21
161401 3 0 113
649476 3 3 1359
376660 3 1 46
1265789 3 1 8
290003 3 0 17
926879 3 2 480
70921 4 2 11
319908 4 1 50
711052 4 1 28
872316 4 1 162
324055 4 1 41
720912 4 0 0
895845 5 2 8
396385 5 0 122
605751 5 2 1040
374191 5 1 9
188101 5 1 63
4415 5 1 9
245361 5 1 20
1244461 5 1 353
321580 5 0 96
998486 6 1 19
362413 6 1 55
508267 6 0 17
828761 6 0 693
604248 6 0 31
1040691 6 0 59
104503 6 1 32
909273 6 0 41
584525 6 1 1754
809553 6 0 15
705539 6 1 196
544627 6 0 546
1353143 7 1 397
1228834 7 1 465
130290 7 1 483
636384 7 0 54
649863 7 7 2540
300170 7 2 35
958509 7 0 1043
365913 7 1 990
546616 7 2 22
358802 7 2 428
572603 7 2 408
200657 8 2 256
121059 8 0 16
283346 8 0 13
1046720 8 1 33
286363 9 1 3
785691 9 2 5768
65430 9 0 34
1070644 9 2 9
409257 9 0 2
507085 9 1 0
46083 9 1 11
363161 9 0 0
826150 10 2 5
1095289 10 7 671
742523 10 1 13
278407 10 5 1394
323246 11 0 86
1080314 11 4 5
371759 11 0 0
581487 11 0 243
623664 11 2 9
613766 11 1 70
1230555 11 0 5
181199 12 1 6
393368 12 0 205
647061 12 1 562
300979 12 1 191
1720 12 1 2
135224 12 1 598
1005014 12 0 7
1265052 13 0 177
422162 13 0 767
491117 13 2 14
392241 13 1 80
1119010 13 1 542
493556 13 0 2
987118 13 0 23
428888 13 0 325
764838 13 0 13
900959 13 0 1917
716280 13 1 12
1131959 13 0 68
1201293 13 1 9
79169 13 2 1401
363906 13 0 385
1171462 13 2 23664
29583 13 1 46
225083 14 2 0
479444 14 2 0
1349268 14 0 237
755894 14 1 161
867000 14 1 1225
1208219 14 2 22
644636 14 0 1325
580221 14 0 14
1277900 14 0 243
900691 14 2 76
301060 14 0 345
846059 15 0 69
873274 15 1 40
373100 15 2 188
547817 16 0 200
1145829 16 0 638
741245 16 2 73577
685556 16 5 671
1096677 16 1 1654
544032 16 0 48
500492 17 2 2
1126434 17 2 8
470589 17 2 645
1259939 17 0 57
1147032 17 0 217
708151 17 0 6
578457 18 2 18
473354 18 0 323
805725 18 1 0
905423 18 0 27
706576 18 1 293
875618 18 4 41
969172 18 0 17
24477 18 0 42
935093 18 0 15
1316770 18 0 8
1163010 18 0 495
657125 19 0 0
